contig	length	gc	stage1_fre	stage1_mean_depth	stage1_mean_cov	stage2_fre	stage2_mean_depth	stage2_mean_cov	control.fre	control.mean.depth	contro.mean.cov	annotation
k141_2951	387	0.388	3	3.000	0.851	7	2.571	0.934	613	0.0616930573164895	0.0525477282986546	Homo sapiens
k141_4755	502	0.365	4	3.000	0.931	11	5.000	0.840	614	0.0431731186580266	0.0321351627739641	Homo sapiens
k141_10025	534	0.378	3	1.333	0.525	3	1.000	0.370	617	0.0383154810050447	0.026509798911004	Homo sapiens
k141_9141	456	0.384	4	1.750	0.575	6	3.500	0.617	618	0.0617110315630205	0.0494209510702276	Homo sapiens
k141_7121	397	0.388	4	1.250	0.964	2	2.500	0.961	618	0.0525266686654173	0.0393081839334955	Naegleria fowleri
k141_6461	427	0.393	2	1.000	1.000	2	2.500	0.998	619	0.0549307080670074	0.039866770045895	NA
k141_8892	317	0.394	3	8.333	1.000	2	14.500	0.730	624	0.100475994574985	0.0557296262249797	Homo sapiens
k141_6549	386	0.373	2	3.500	0.965	9	3.556	0.823	624	0.0454812065284029	0.0375494502512297	Homo sapiens
k141_3627	282	0.411	5	4.600	0.978	6	7.333	0.931	625	0.0770676317496769	0.0576211285255765	Homo sapiens
k141_766	370	0.365	2	2.000	0.999	5	3.200	0.994	626	0.0575940216491973	0.0461677070954899	Homo sapiens
k141_10199	421	0.380	5	2.200	0.930	11	2.818	0.837	628	0.045548728464511	0.0377542489530918	Homo sapiens
k141_10124	589	0.394	5	22.600	0.954	11	19.273	0.895	639	0.0447118396473531	0.0332735404941319	NA
k141_1097	283	0.438	3	2.333	1.000	2	1.500	0.933	641	0.104221695935053	0.0636474751159776	Homo sapiens
k141_8310	587	0.385	5	8.400	0.957	14	14.571	0.933	642	0.0339776860352944	0.0306782002197457	Homo sapiens
k141_6958	475	0.385	4	3.750	0.888	10	7.000	0.938	643	0.0380783033830639	0.0335356322341155	Homo sapiens
k141_9304	453	0.369	5	9.000	0.960	12	5.667	0.954	644	0.0435000196309958	0.0357509498175228	Homo sapiens
k141_1613	422	0.353	2	1.500	0.634	4	1.250	0.883	646	0.0588494124628036	0.0435194498158034	Homo sapiens
k141_9839	361	0.429	3	1.667	0.782	6	2.500	0.599	648	0.0511411511075247	0.0445772904902819	Homo sapiens
k141_10232	553	0.400	5	1.000	0.704	8	3.625	0.839	653	0.0335886503366124	0.0301753343385229	Homo sapiens
k141_6542	397	0.431	2	1.500	0.997	2	3.000	0.916	654	0.0615809293636854	0.0443475213806366	Homo sapiens
k141_2884	584	0.382	4	1.750	0.749	3	4.333	0.554	654	0.0428410679571769	0.0339648265436869	Homo sapiens
k141_9560	481	0.570	4	4.000	0.820	5	53.400	0.958	656	0.763883008252149	0.0939489396459203	Cutibacterium acnes
k141_7640	309	0.411	3	2.000	0.601	4	2.500	0.494	656	0.0633928740219492	0.0513325184831302	Homo sapiens
k141_1712	404	0.381	3	1.667	0.697	5	1.400	0.569	661	0.0467743148629368	0.0400792537017047	Homo sapiens
k141_3494	417	0.432	5	12.400	0.990	11	19.727	0.913	663	0.0563724520164064	0.0420479988447252	NA
k141_202	346	0.410	2	1.000	0.605	2	1.000	0.173	667	0.0606388703487447	0.0514330056420578	Homo sapiens
k141_4071	381	0.430	4	3.750	0.897	7	2.000	0.792	667	0.059991364126713	0.0511232371329118	Homo sapiens
k141_9454	576	0.408	4	4.250	0.810	6	7.167	0.821	670	0.0425169286842246	0.0328198042496408	Homo sapiens
k141_9970	525	0.385	5	7.600	0.923	14	5.714	0.887	670	0.0376457364660654	0.0327290360528434	Homo sapiens
k141_7787	442	0.380	4	3.500	0.941	7	4.429	0.943	671	0.063087087105663	0.0412486778610745	NA
k141_10376	448	0.384	4	3.750	0.954	11	3.273	0.857	671	0.0512783742159562	0.0370253521719119	Homo sapiens
k141_10147	342	0.404	2	1.500	0.867	5	1.800	0.690	674	0.0529784846810254	0.0477493472294751	Homo sapiens
k141_9655	394	0.388	3	2.000	0.841	4	2.000	0.718	674	0.0508175174772432	0.0433687933384355	Homo sapiens
k141_5576	334	0.383	2	1.500	0.945	2	2.000	0.898	675	0.0644688413808236	0.0512419814342903	NA
k141_3377	405	0.407	5	2.400	0.839	10	6.200	0.727	676	0.0492802188064568	0.0410818378776813	Homo sapiens
k141_9301	587	0.405	5	14.200	0.948	13	8.000	0.819	676	0.0380746181509733	0.0254482911016134	Homo sapiens
k141_4009	438	0.361	2	1.500	0.861	3	1.000	0.564	677	0.0496841993835015	0.0422669138512267	Homo sapiens
k141_1835	356	0.382	2	1.000	0.999	4	2.250	0.883	679	0.0676430062646972	0.0509157602646402	Homo sapiens
k141_9411	307	0.423	3	2.667	0.969	2	1.500	0.997	683	0.0789633822541513	0.0593531570762127	NA
k141_1368	268	0.388	2	2.000	0.616	5	1.800	0.860	684	0.0776315822972831	0.0654896290783941	Homo sapiens
k141_6889	302	0.414	2	2.000	0.581	7	2.429	0.878	684	0.06304383842407	0.0570107364423224	Homo sapiens
k141_9013	358	0.355	3	1.667	0.958	3	3.000	0.669	686	0.0642128322045662	0.0461388134941544	Homo sapiens
k141_6002	370	0.338	4	1.750	0.899	5	2.000	0.828	688	0.0673629345055903	0.0439938945666646	Homo sapiens
k141_899	376	0.396	4	1.500	0.781	8	2.375	0.809	689	0.0539694945096658	0.0467352123550589	Homo sapiens
k141_7846	669	0.383	2	1.000	0.585	4	2.250	0.880	689	0.0353704139232885	0.0302025513970037	Homo sapiens
k141_8208	475	0.362	2	3.500	0.989	5	3.600	0.655	691	0.0507262518505126	0.0404624407304149	Homo sapiens
k141_2055	484	0.386	3	1.000	0.729	8	2.875	0.698	693	0.0507544945975643	0.0448360964257546	Homo sapiens
k141_3190	498	0.339	4	5.750	0.990	13	4.462	0.951	693	0.0425509167804239	0.0364621538189908	Homo sapiens
k141_4838	385	0.361	2	1.000	0.592	2	1.000	0.225	699	0.0519452089582364	0.0456953195799921	Homo sapiens
k141_8989	282	0.358	4	2.000	0.927	8	1.625	0.829	700	0.0997390200893492	0.0694942859921649	Homo sapiens
k141_9675	482	0.376	3	1.667	0.775	5	3.800	0.917	701	0.045231552485651	0.0363229134310279	Homo sapiens
k141_10317	600	0.387	4	3.500	0.905	13	4.692	0.788	704	0.0315943458448784	0.028617053295155	Homo sapiens
k141_9740	433	0.386	3	2.000	0.853	3	3.667	0.754	706	0.0496549754145324	0.0393665176762241	Homo sapiens
k141_5313	578	0.412	3	2.667	0.739	5	150.000	0.673	708	0.0493438948383382	0.0362482028941088	uncultured bacterium
k141_429	397	0.436	2	1.500	0.940	2	1.000	0.879	709	0.0731256814006567	0.0502573173549915	Homo sapiens
k141_2306	717	0.414	5	4.200	0.819	6	6.000	0.789	709	0.0331662071149892	0.0259429513488218	Homo sapiens
k141_4941	425	0.388	4	1.500	0.848	9	2.000	0.787	710	0.064349234215239	0.0567005690000334	Homo sapiens
k141_9175	519	0.397	3	2.333	0.824	14	2.071	0.764	710	0.0397277356878651	0.0358744505183007	Homo sapiens
k141_9953	570	0.402	4	5.250	0.965	16	8.250	0.888	710	0.0335924610978663	0.0304690591199728	Homo sapiens
k141_769	326	0.383	3	1.333	0.907	6	4.000	0.778	712	0.0607813788072449	0.0521686040762358	Homo sapiens
k141_9464	367	0.398	3	6.000	0.946	3	9.667	0.917	716	0.127143137951547	0.0659096124412589	Homo sapiens
k141_825	305	0.413	3	1.667	0.954	4	2.250	0.813	717	0.0867845067254674	0.0622939470964185	NA
k141_4458	370	0.430	4	2.500	0.666	4	2.250	0.899	717	0.0708721557406387	0.053815905754749	NA
k141_1741	452	0.369	2	1.500	0.669	4	1.250	0.594	719	0.0564097370406945	0.0421792349909276	Homo sapiens
k141_4749	279	0.358	3	2.000	0.938	4	2.000	0.855	721	0.10720421138706	0.0734120124426815	Homo sapiens
k141_10435	269	0.405	2	1.500	0.909	2	1.500	0.463	721	0.0799143802462543	0.0626066279639032	Homo sapiens
k141_5544	410	0.385	4	1.500	0.721	3	3.333	0.831	722	0.0539272849803745	0.0365209042418426	Homo sapiens
k141_10077	487	0.437	3	1.000	0.807	4	1.750	0.566	723	0.0632185499801788	0.041438937728077	NA
k141_3077	451	0.408	4	5.750	0.997	6	8.667	0.985	723	0.0631005148595966	0.0428015502408225	Homo sapiens
k141_9203	577	0.386	4	5.000	0.903	16	7.062	0.841	725	0.0365665181305558	0.0317116270127644	Homo sapiens
k141_2033	465	0.353	5	7.800	1.000	13	5.077	0.985	727	0.0464898136591005	0.0397478229636968	Homo sapiens
k141_4109	441	0.379	3	2.000	0.890	7	3.143	0.865	728	0.0485835080828643	0.0414499480596066	Homo sapiens
k141_5466	403	0.417	3	2.667	0.895	4	4.000	0.855	730	0.0654841569167577	0.0495971428671636	NA
k141_6024	469	0.403	4	4.750	0.838	12	7.667	0.838	730	0.0451711907899156	0.039572646112855	Homo sapiens
k141_7184	419	0.415	5	5.000	0.920	6	3.000	0.695	733	0.0584137962933043	0.03938533287235	Homo sapiens
k141_8827	429	0.399	3	2.667	0.691	7	2.143	0.588	733	0.0506636068270342	0.0433035350960629	Homo sapiens
k141_300	244	0.352	3	1.333	0.751	4	1.750	0.863	734	0.0930039926374532	0.0715845658179106	Homo sapiens
k141_8610	243	0.407	2	1.000	0.714	2	1.000	0.239	734	0.083766715768628	0.069755729546624	Homo sapiens
k141_8453	331	0.393	4	2.000	0.894	8	2.375	0.986	734	0.0674991751424859	0.0563653725920782	Homo sapiens
k141_4570	364	0.409	3	1.000	0.709	6	1.333	0.737	734	0.0627104210227791	0.05224817950371	Homo sapiens
k141_1929	494	0.399	5	2.800	0.846	10	3.400	0.698	738	0.0448918653823282	0.0403336231609692	Homo sapiens
k141_8525	553	0.398	4	3.000	0.892	10	4.800	0.754	742	0.0434818704634154	0.038273116735707	Homo sapiens
k141_6950	378	0.413	3	3.333	0.981	7	5.286	0.807	744	0.0550534107281013	0.0469160634323587	Homo sapiens
k141_9646	547	0.377	4	4.000	0.870	11	8.000	0.948	744	0.0385084217080816	0.0333655500720837	Homo sapiens
k141_3051	431	0.392	3	1.667	0.790	5	4.200	0.917	745	0.0518440409881571	0.0430991704704142	Homo sapiens
k141_1974	356	0.390	4	1.250	1.000	4	2.500	0.697	747	0.0727433772593522	0.0524582610781502	Homo sapiens
k141_1926	272	0.375	2	1.500	0.721	4	4.750	1.000	755	0.130897225030034	0.0877168451429346	Homo sapiens
k141_6644	370	0.389	3	3.000	1.000	4	3.250	0.830	756	0.0702370929794027	0.051986465169925	Homo sapiens
k141_10280	528	0.405	3	2.000	0.836	11	2.727	0.864	758	0.0430133999260342	0.0372335553982399	Homo sapiens
k141_1611	394	0.525	2	1.000	0.718	4	2.250	0.607	759	6.80122893929846	0.1278421598781	Pseudomonas syringae
k141_8040	378	0.360	2	1.500	0.948	2	2.500	0.915	759	0.0598210171305597	0.0501936509749093	Homo sapiens
k141_6247	692	0.341	5	5.000	0.626	6	11.000	0.569	759	0.0393735126086317	0.0251324513433282	Homo sapiens
k141_6806	475	0.394	3	2.667	0.924	11	3.545	0.928	762	0.047294537205628	0.0425208231857362	Homo sapiens
k141_9644	663	0.389	5	7.200	0.903	13	9.769	0.782	764	0.0338552831409338	0.0313154519730995	Homo sapiens
k141_5712	451	0.392	4	1.500	0.729	10	3.400	0.851	765	0.0499909520356635	0.0439861995226224	Homo sapiens
k141_1272	321	0.383	4	1.750	0.871	5	2.600	0.896	770	0.0828395352900488	0.0568469783866838	Homo sapiens
k141_1071	533	0.364	4	3.000	0.906	3	2.667	0.879	770	0.0469723833191586	0.0392528846138031	Homo sapiens
k141_9548	591	0.557	4	1.750	0.765	8	39.375	0.861	772	2.52762436726656	0.111187769410345	Micrococcus luteus
k141_10112	619	0.339	3	1.333	0.710	5	1.400	0.532	772	0.0465865998027024	0.034054927936717	Homo sapiens
k141_1286	280	0.418	4	1.500	0.831	3	6.333	0.980	775	0.138255342031411	0.06715905920196	NA
k141_4520	486	0.383	4	19.250	0.983	11	9.364	0.864	776	0.187625799180158	0.0348953302402501	Homo sapiens
k141_9798	378	0.413	4	1.000	0.956	4	6.250	0.806	778	0.0763206385912567	0.0533526281209232	Homo sapiens
k141_9865	639	0.407	5	6.000	0.823	11	8.273	0.825	778	0.0459409876887919	0.0401727057452532	Homo sapiens
k141_5731	223	0.368	2	1.500	0.561	4	2.250	0.980	782	0.123667453292067	0.0847381552680228	Naegleria fowleri
k141_10175	568	0.380	3	1.667	0.563	4	1.000	0.422	782	0.0460910698764445	0.0391393613894205	Homo sapiens
k141_2869	391	0.366	2	2.000	0.898	5	1.200	0.481	798	0.0650030053130305	0.049893237517792	Homo sapiens
k141_10114	448	0.388	2	2.000	0.728	5	3.200	0.758	798	0.0567852275834102	0.0457788095163317	NA
k141_9606	532	0.389	2	1.500	0.964	2	1.000	0.559	799	0.057271163109804	0.0437231918966929	Homo sapiens
k141_9564	499	0.573	2	2.500	0.920	6	50.000	0.797	800	3.66156561867548	0.104684952691984	Micrococcus luteus
k141_1230	303	0.373	2	1.500	1.000	2	1.000	0.797	800	0.106993797383722	0.0714166547069029	Homo sapiens
k141_8515	601	0.403	4	3.000	0.841	6	7.167	0.823	800	0.0441544581916033	0.0370257940428961	Homo sapiens
k141_3962	723	0.397	5	5.400	0.846	13	5.000	0.786	800	0.0343406494289869	0.0304912535206597	Homo sapiens
k141_9827	545	0.374	2	2.000	0.665	6	2.500	0.856	801	0.0509395125429397	0.0397102669242366	Homo sapiens
k141_957	396	0.543	3	2.333	0.948	6	56.833	0.881	803	4.34065096736073	0.129534723060432	Micrococcus luteus
k141_9842	443	0.386	3	2.000	0.738	9	2.556	0.860	805	0.0684392941766793	0.0461143767201246	Homo sapiens
k141_8319	407	0.364	2	2.000	0.966	6	2.833	0.903	805	0.064355281928873	0.051648009657577	Homo sapiens
k141_4013	345	0.371	3	3.667	0.919	8	1.625	0.823	810	0.0761777339101573	0.058278249820617	Homo sapiens
k141_3169	285	0.340	2	1.500	0.642	2	2.500	0.891	812	0.0922615334058623	0.0679350989107159	Homo sapiens
k141_3935	600	0.368	4	4.000	0.858	9	6.333	0.843	812	0.0519331537110133	0.038936699550461	Homo sapiens
k141_2194	362	0.412	4	2.750	0.791	13	3.385	0.659	814	0.072743444393803	0.0591407063539097	Homo sapiens
k141_5007	577	0.425	2	3.500	0.742	4	1.750	0.500	814	0.0601770314094896	0.0438559623294787	NA
k141_2913	373	0.405	3	2.000	0.882	2	3.500	0.938	817	0.129942701839407	0.0722889301785782	Homo sapiens
k141_400	524	0.389	5	2.000	0.914	9	6.000	0.880	817	0.0482252759983848	0.0401280869124858	Homo sapiens
k141_4139	350	0.369	2	1.500	0.690	2	2.000	0.871	821	0.0724634010111831	0.0581824619604982	Homo sapiens
k141_4165	587	0.376	3	1.000	0.735	6	1.667	0.601	821	0.0474074486357066	0.0397050587565935	Homo sapiens
k141_4253	521	0.418	5	9.000	0.994	8	14.500	0.702	823	0.0629307831600713	0.0451005691668921	NA
k141_10492	435	0.386	3	1.667	0.971	3	2.667	0.770	824	0.0735422453433491	0.0491127563976897	Homo sapiens
k141_4889	282	0.358	4	4.250	1.000	8	5.250	0.978	825	0.125206793825035	0.0842318191030157	Homo sapiens
k141_3650	306	0.418	2	2.000	0.917	2	2.000	1.000	827	0.0963885294341825	0.0676105133738191	NA
k141_4353	357	0.392	3	1.333	0.736	2	1.500	0.703	827	0.0796468936528287	0.0524797457525636	Homo sapiens
k141_4293	424	0.368	5	7.600	0.998	10	5.100	0.986	827	0.0637839308152182	0.0526485325354524	Homo sapiens
k141_3291	356	0.379	2	1.000	0.958	3	2.333	0.861	829	0.0720914161379756	0.0626792799105953	Homo sapiens
k141_5193	246	0.402	3	3.333	0.881	2	3.000	1.000	830	0.236671369628199	0.102396104716476	Homo sapiens
k141_5388	352	0.364	4	2.000	0.901	5	1.600	0.896	835	0.118339033105268	0.0739016793998421	Homo sapiens
k141_7000	442	0.439	4	2.250	0.750	9	3.667	0.729	838	0.0673185321064133	0.0576530940575164	Homo sapiens
k141_8909	550	0.382	3	2.000	0.735	10	2.700	0.735	838	0.0622751630689234	0.0421700617733679	Homo sapiens
k141_3093	319	0.364	3	2.000	0.996	4	5.000	0.958	841	0.0907367016723221	0.0681020642179186	Homo sapiens
k141_8768	440	0.402	4	1.250	0.874	11	1.727	0.790	841	0.0575028248416448	0.0500159177015307	Homo sapiens
k141_10171	480	0.408	4	4.500	0.928	14	3.357	0.780	842	0.0540773863258342	0.0449751277232159	Homo sapiens
k141_10511	386	0.427	5	12.800	1.000	8	5.750	0.850	845	0.0774558392452161	0.0464424750051809	Homo sapiens
k141_3889	651	0.384	3	1.333	0.654	10	3.000	0.718	845	0.0385415873040133	0.0333559553559628	Homo sapiens
k141_3900	511	0.374	5	6.400	0.974	14	9.071	0.967	847	0.0507695508506617	0.036838069464011	Homo sapiens
k141_10393	577	0.381	2	1.000	0.647	2	1.000	0.642	847	0.0486465490037651	0.0371612218271045	Homo sapiens
k141_2516	453	0.402	3	11.333	0.882	4	11.500	0.799	849	0.188653668747267	0.0813783342220868	Homo sapiens
k141_10418	409	0.367	2	2.000	0.993	7	2.857	0.880	849	0.0625774262283324	0.0494791339995375	Homo sapiens
k141_8190	308	0.425	3	1.333	0.974	4	1.500	0.690	851	0.0920918037112079	0.0742986231068328	Homo sapiens
k141_9215	367	0.401	5	11.200	1.000	9	15.556	0.995	852	0.0897561449345425	0.0620810977060088	NA
k141_4377	236	0.373	2	1.500	0.680	4	3.250	0.922	853	0.126613046616014	0.0887903338636405	NA
k141_5992	343	0.356	3	3.000	0.904	4	1.500	0.984	855	0.0963675050097922	0.0695207929480178	Homo sapiens
k141_10543	482	0.386	5	2.600	0.824	12	5.000	0.905	855	0.0798141728491953	0.0693486670601623	Homo sapiens
k141_9518	455	0.387	5	5.800	0.996	6	11.333	0.968	856	0.0728324244280818	0.0543783037292469	NA
k141_3427	413	0.397	5	6.200	0.991	13	8.846	0.945	857	0.06279462499439	0.055711970404573	Homo sapiens
k141_9298	496	0.403	5	3.600	0.848	12	7.917	0.893	857	0.0565588495623423	0.0455981553669128	Homo sapiens
k141_365	524	0.393	5	5.000	0.835	13	5.077	0.890	857	0.0532828223187076	0.0468672011013197	Homo sapiens
k141_3787	529	0.389	5	13.200	0.885	15	9.267	0.844	860	0.0516186735732695	0.0439897369342312	Homo sapiens
k141_2334	356	0.365	2	1.000	0.621	2	1.000	0.420	861	0.0731381035099481	0.0583652592347583	Homo sapiens
k141_8094	516	0.370	5	5.800	0.902	11	5.091	0.880	862	0.0602085753357037	0.0476333914012275	Homo sapiens
k141_8179	553	0.389	4	6.250	0.959	11	7.182	0.948	862	0.0523996959961341	0.0461667076382157	Homo sapiens
k141_9243	403	0.390	3	1.333	0.779	7	2.571	0.745	864	0.0662382813613613	0.0565039492241653	Homo sapiens
k141_8129	443	0.357	4	2.500	0.824	9	2.778	0.728	865	0.0923795520961779	0.0525993455098813	Homo sapiens
k141_7552	449	0.365	3	2.667	0.947	4	2.750	0.926	865	0.0586217243540829	0.0474432214517985	Homo sapiens
k141_3878	513	0.400	5	5.000	0.760	14	5.571	0.818	865	0.0527142113932585	0.0461815192657048	Homo sapiens
k141_3861	571	0.377	2	2.000	0.961	3	1.667	0.687	865	0.0486971692903842	0.0361386422580312	Homo sapiens
k141_10110	423	0.364	2	1.000	0.788	2	1.000	0.637	869	0.0610491110786921	0.0523732917781925	Homo sapiens
k141_10122	514	0.405	2	1.000	0.828	5	2.800	0.711	869	0.0558996097249628	0.0476169465883973	Homo sapiens
k141_1119	583	0.395	4	5.250	0.879	13	5.308	0.899	871	0.0446888181976277	0.039879234769482	Homo sapiens
k141_10233	468	0.395	3	4.000	0.675	2	5.500	0.657	872	0.144230582154739	0.058572721603998	Homo sapiens
k141_7764	441	0.365	4	7.000	0.990	9	4.333	0.937	872	0.0714185965183331	0.0561729685898746	Homo sapiens
k141_1986	469	0.375	4	2.000	0.888	11	2.636	0.903	872	0.0643901390028408	0.0520609532946544	Homo sapiens
k141_5184	418	0.402	4	2.250	0.739	9	3.000	0.711	873	0.0680096749508557	0.0509324972932685	Homo sapiens
k141_3908	537	0.393	2	2.000	0.722	15	2.733	0.754	874	0.0497258965959652	0.0419451533988272	Homo sapiens
k141_2252	344	0.384	2	3.500	0.783	4	1.750	0.891	875	0.091297085953417	0.0651131497194217	Pan troglodytes
k141_10366	352	0.446	2	1.000	0.964	4	3.250	0.790	877	0.155251405211067	0.0660528559711771	NA
k141_8554	247	0.393	2	1.500	0.794	3	1.667	0.703	878	0.117320847595211	0.0870606755193966	Naegleria fowleri
k141_4197	449	0.392	2	1.000	0.589	6	1.667	0.661	879	0.0641879035076422	0.052414486568169	Homo sapiens
k141_7976	439	0.374	4	31.000	0.999	11	13.273	0.968	881	0.316743520420635	0.0483231494715333	Homo sapiens
k141_7071	307	0.391	4	1.750	0.664	3	3.000	0.735	884	0.134686752594451	0.106945263047122	Homo sapiens
k141_5899	784	0.389	5	16.400	0.746	9	14.333	0.707	885	0.0782815499308426	0.0476367132789762	Homo sapiens
k141_4871	316	0.364	3	2.000	0.970	6	2.667	0.883	893	0.0951695002336511	0.0707811984965254	Homo sapiens
k141_3003	471	0.399	5	8.800	0.913	13	8.538	0.929	894	0.0638381874950506	0.0541238902850709	Homo sapiens
k141_4882	528	0.367	3	2.333	0.887	5	1.400	0.756	896	0.0679270765692433	0.0505341299918198	Homo sapiens
k141_8393	488	0.387	5	4.200	0.915	5	7.200	0.927	897	0.0671855091388347	0.0509400477254964	Naegleria fowleri
k141_10115	498	0.392	2	2.500	0.856	5	1.800	0.545	897	0.0662100761050196	0.0491919881571891	Homo sapiens
k141_8513	467	0.398	5	5.000	0.983	14	4.071	0.852	897	0.0567492190381684	0.0481206300881209	Homo sapiens
k141_10187	684	0.398	5	8.000	0.911	14	13.786	0.865	899	0.0399281538644581	0.0354132419153359	Homo sapiens
k141_7834	312	0.401	2	1.000	0.681	7	2.000	0.930	900	0.0934609043193281	0.0698349164595649	Homo sapiens
k141_6733	502	0.382	5	4.600	0.794	10	3.400	0.720	901	0.0640053786178842	0.0464056992175108	Homo sapiens
k141_2135	426	0.369	4	1.250	0.767	4	1.000	0.642	902	0.0678356229361036	0.0520551171844061	Homo sapiens
k141_8906	532	0.367	4	3.000	0.797	7	2.857	0.575	903	0.0535192866699067	0.0396874922530831	Homo sapiens
k141_6903	323	0.409	4	1.500	0.878	5	3.000	0.984	904	0.188114186398102	0.0734257671163414	NA
k141_9143	661	0.396	3	4.333	0.971	7	2.714	0.759	907	0.0440583870912121	0.0386859315108768	Homo sapiens
k141_9054	483	0.371	4	2.750	0.795	6	4.833	0.870	908	0.068021233178159	0.053480419382544	Homo sapiens
k141_9082	451	0.397	5	8.600	1.000	14	7.857	0.946	908	0.0665914794216893	0.0553541901767648	Homo sapiens
k141_9852	517	0.364	5	5.400	0.927	9	7.222	0.850	908	0.0544469837383789	0.0438367013918497	Homo sapiens
k141_8427	404	0.394	4	2.500	0.979	10	4.200	0.879	910	0.0734875167411724	0.0635246057062625	Homo sapiens
k141_10145	367	0.441	2	1.000	0.875	3	1.333	0.758	911	0.0994738897916645	0.0680571079207867	NA
k141_2955	444	0.385	3	3.333	0.920	9	3.889	0.835	912	0.0622111548669134	0.0553171199212571	Homo sapiens
k141_6137	567	0.384	4	1.250	0.977	11	3.727	0.759	917	0.0693986429135515	0.040524888882983	Homo sapiens
k141_4652	448	0.362	3	1.667	0.906	3	1.667	0.897	917	0.0664345905039729	0.0485412648506091	Homo sapiens
k141_5680	545	0.393	3	3.333	0.946	10	6.200	0.798	918	0.0573240587940599	0.0514317043749721	Homo sapiens
k141_6072	425	0.419	2	1.500	0.964	2	5.000	0.925	920	0.234017910882875	0.113758872946106	Homo sapiens
k141_2777	589	0.394	5	6.000	0.904	14	5.786	0.866	924	0.0476593885989231	0.0423857230737614	Homo sapiens
k141_10204	615	0.385	3	4.000	0.775	6	3.333	0.823	925	0.0719832774845342	0.0512671933238003	Homo sapiens
k141_9613	670	0.421	3	2.333	0.894	2	9.500	0.921	926	0.107492422987113	0.0616011974979077	Homo sapiens
k141_6416	458	0.402	5	9.600	0.987	14	9.500	0.937	926	0.0701827274912545	0.0550919735832622	Homo sapiens
k141_4636	503	0.362	4	1.750	0.850	10	2.900	0.763	927	0.111096605196359	0.077427064130841	Homo sapiens
k141_903	380	0.374	3	1.333	0.946	3	2.333	0.734	928	0.0893414550641173	0.0602362508881966	Homo sapiens
k141_10221	414	0.394	3	1.333	0.791	2	2.000	0.862	928	0.0761950327142026	0.0607187850580413	Homo sapiens
k141_5558	434	0.380	5	6.800	0.979	9	5.556	0.996	929	0.0793770759577503	0.0571262942218105	Homo sapiens
k141_9610	267	0.367	2	1.000	1.000	3	1.000	0.884	932	0.127728698759705	0.0912283088109266	Homo sapiens
k141_1349	440	0.373	2	1.000	0.805	6	2.000	0.456	932	0.0916659015063927	0.0696353038341822	Homo sapiens
k141_3266	763	0.370	3	3.000	0.823	7	5.000	0.620	932	0.043232062748005	0.0370786147830159	Homo sapiens
k141_6031	606	0.401	4	7.750	0.833	10	4.300	0.660	933	0.0515596565097285	0.0438645324727325	Homo sapiens
k141_822	286	0.409	5	3.000	0.986	4	6.500	0.989	936	0.141518947961743	0.0893846430570258	NA
k141_8674	435	0.398	2	1.000	0.516	4	2.000	0.835	937	0.0793233879974043	0.0642086164324724	Homo sapiens
k141_8955	384	0.388	2	1.000	1.000	5	2.000	0.601	938	0.0871868428194483	0.0709345012185277	Homo sapiens
k141_8186	459	0.355	4	4.000	0.934	10	3.600	0.886	938	0.0725081956362759	0.0549042282664357	Homo sapiens
k141_4204	442	0.416	5	20.600	0.930	9	13.889	0.658	938	0.072116409624987	0.0477088768157474	Homo sapiens
k141_4876	306	0.369	3	4.667	0.998	6	4.000	0.842	939	1.03108502825053	0.0856500577032479	Homo sapiens
k141_4080	514	0.385	4	4.750	0.951	9	6.556	0.956	939	0.0593705368084812	0.0506679707493766	Homo sapiens
k141_5163	391	0.358	2	2.000	0.743	5	1.400	0.893	941	0.0836729165546869	0.066751809131134	Homo sapiens
k141_3655	478	0.358	2	1.000	0.666	3	1.333	0.603	945	0.0730762499099767	0.06089604172572	Homo sapiens
k141_8985	465	0.396	3	5.667	1.000	8	5.375	0.926	945	0.0638777751112516	0.0536695409257843	Homo sapiens
k141_10504	456	0.408	5	2.800	0.651	4	5.500	0.643	949	0.0804380235765099	0.0501487885544007	Homo sapiens
k141_458	443	0.370	2	1.500	1.000	2	1.500	0.622	951	0.0736506660705168	0.0583840360321876	Homo sapiens
k141_8702	398	0.374	3	2.333	0.970	11	2.182	0.819	953	0.230498529610789	0.0946631630060363	Homo sapiens
k141_8240	415	0.400	4	6.250	0.955	12	5.083	0.961	953	0.0809308804642313	0.0685619869177623	Homo sapiens
k141_10194	378	0.399	2	1.000	0.696	2	1.500	0.612	954	0.207685039867104	0.124930028277473	NA
k141_636	387	0.375	2	1.500	1.000	3	2.333	0.726	955	0.098516942887175	0.0653339785892366	NA
k141_9633	423	0.423	4	87.750	0.934	12	27.833	0.728	957	0.298892122886591	0.0534555276166305	Homo sapiens
k141_10229	400	0.398	2	2.500	0.754	3	2.000	0.517	957	0.0957500077582095	0.0767036819456109	Homo sapiens
k141_5428	332	0.395	5	1.400	0.911	8	4.250	0.913	957	0.0893150131924841	0.0720960482425364	Homo sapiens
k141_790	517	0.383	2	1.500	0.602	4	2.250	0.697	957	0.0597990828238373	0.0477481627794006	Homo sapiens
k141_6782	265	0.400	3	2.333	1.000	6	2.667	0.804	958	0.120077474598834	0.0944564214216248	Homo sapiens
k141_2147	372	0.419	4	1.500	0.850	6	5.333	0.901	960	0.10186137940075	0.0723353531932275	NA
