query	subject	cov	similarity
NC_008018.1	NC_007003.1	99.909350	86.696000
NC_008020.1	NC_031089.1	43.277263	67.960277
NC_008028.1	NC_038984.1	76.403435	67.742688
NC_008029.1	NC_003782.1	3.745318	71.762660
NC_008030.1	NC_022563.1	25.143380	69.897152
NC_008032.1	NC_039041.1	38.133121	67.615619
NC_008033.1	NC_030199.1	72.952012	73.747809
NC_008034.1	NC_040809.1	34.019387	65.643181
NC_008035.3	NC_005137.2	80.626081	74.913274
NC_008037.1	NC_006567.1	35.017354	70.943030
NC_008038.1	NC_008037.1	8.360733	95.506000
NC_008039.1	NC_006566.1	38.203912	67.946344
NC_008040.1	NC_024492.1	100.000000	97.069000
NC_008041.1	NC_013459.1	100.000000	82.929000
NC_008056.1	NC_060102.1	98.214979	90.866000
NC_008057.1	NC_038797.1	82.681783	74.388757
NC_008058.1	NC_055596.1	94.414690	77.738143
NC_008059.1	NC_008492.1	99.884837	86.015000
NC_008094.1	NC_001407.1	87.162683	98.266135
NC_008152.1	NC_047769.1	98.963614	95.087169
NC_008168.1	NC_013797.1	63.284309	70.043077
NC_008169.1	NC_038848.1	51.629503	67.344104
NC_008170.1	NC_079104.1	19.574809	66.399314
NC_008171.1	NC_070999.1	0.742403	83.721000
NC_008172.1	NC_002557.1	0.646707	96.429000
NC_008173.1	NC_073066.1	1.022691	87.500000
NC_008173.1	NC_075034.1	1.022691	87.500000
NC_008174.1	NC_014649.1	1.411931	85.000000
NC_008175.1	NC_002520.1	2.318698	80.851000
NC_008176.1	NC_021792.1	2.845287	84.000000
NC_008177.1	NC_015049.1	2.056555	87.500000
NC_008178.1	NA	NA	NA
NC_008179.1	NC_047985.1	2.546296	87.879000
NC_008180.1	NC_048807.1	3.416856	90.000000
NC_008181.1	NC_076513.1	2.834008	100.000000
NC_008182.1	NC_003445.1	31.275557	67.447628
NC_008183.1	NC_008182.1	15.273413	94.257346
NC_008184.1	NC_011109.1	31.273837	69.292115
NC_008187.1	NC_023848.1	19.171115	68.517137
NC_008188.1	NC_012213.1	95.456423	75.455088
NC_008189.1	NC_012213.1	85.383662	69.762925
NC_008190.1	NC_038832.1	2.512563	80.000000
NC_008191.1	NC_011556.1	5.519829	70.874000
NC_008193.1	NC_001697.1	58.429766	70.645156
NC_008194.1	NC_042027.1	96.003115	98.807727
NC_008195.1	NC_042034.1	97.558525	87.382358
NC_008196.1	NC_028844.1	93.233308	96.972656
NC_008197.1	NC_005259.1	100.000000	99.806926
NC_008198.1	NC_008200.1	99.412348	98.073461
NC_008199.1	NC_055812.1	95.999073	96.567171
NC_008200.1	NC_011285.1	98.882492	97.686939
NC_008201.1	NC_028898.1	88.530051	96.292049
NC_008202.2	NC_012788.1	97.448509	98.900633
NC_008203.1	NC_022058.1	96.045882	90.927670
NC_008204.1	NC_042050.1	99.333214	98.025645
NC_008205.1	NC_051651.1	86.463699	92.936802
NC_008206.2	NC_053512.1	15.899918	68.676735
NC_008207.1	NC_011272.1	98.823537	99.133769
NC_008208.1	NC_014635.1	95.951695	94.172846
NC_008210.1	NC_008211.1	0.238135	67.209998
NC_008211.1	NC_040681.1	0.350450	68.590486
NC_008236.1	NC_008317.1	100.000000	86.576000
NC_008237.1	NC_038682.1	100.000000	89.068000
NC_008249.1	NC_031747.1	84.559322	80.258098
NC_008250.2	NC_075281.1	12.851770	69.152412
NC_008251.1	NC_003400.1	75.707203	69.725238
NC_008252.1	NC_005906.1	91.556299	82.451443
NC_008265.1	NC_017978.1	12.039273	81.032198
NC_008266.1	NC_001361.2	66.483195	68.118683
NC_008267.1	NC_075419.1	92.614048	71.357000
NC_008283.1	NC_074893.1	94.945455	72.446268
NC_008284.1	NC_055517.1	97.688921	93.430723
NC_008291.1	NC_003663.2	98.746276	94.844374
NC_008292.1	NC_013006.1	65.883616	69.202718
NC_008293.1	NC_027923.1	33.406175	69.931829
NC_008294.1	NC_074141.1	16.484747	67.340221
NC_008296.2	NC_055719.1	68.094755	75.755066
NC_008297.1	NC_016074.1	94.334060	71.445801
NC_008298.1	NC_033740.1	35.972396	65.645873
NC_008299.1	NC_012118.1	100.000000	91.880000
NC_008300.1	NC_030380.1	51.732673	65.040928
NC_008301.1	NC_003619.1	69.715272	80.637941
NC_008302.1	NC_003614.1	100.000000	79.910000
NC_008303.1	NC_003620.1	100.000000	77.967000
NC_008304.1	NC_009490.1	100.000000	85.807000
NC_008305.1	NC_009491.1	93.351268	72.634896
NC_008306.1	NC_030378.1	96.591164	71.728000
NC_008307.1	NC_026618.2	97.341641	66.989000
NC_008310.2	NC_025381.1	99.059368	71.185000
NC_008311.1	NC_045762.1	34.543484	65.392450
NC_008316.1	NC_043513.1	95.916155	73.613000
NC_008317.1	NC_008236.1	100.000000	86.576000
NC_008329.1	NC_021202.1	100.000000	89.724000
NC_008348.1	NC_076031.1	70.514339	76.142234
NC_008361.1	NC_044938.1	37.486140	71.147322
NC_008363.1	NC_049374.1	91.397435	90.969039
NC_008364.1	NC_049368.1	4.352414	69.914835
NC_008365.1	NC_001873.1	83.229814	66.847247
NC_008366.1	NC_008585.1	15.188685	67.550927
NC_008367.1	NC_019495.1	0.180761	76.000000
NC_008370.1	NC_049407.1	86.656834	89.140591
NC_008371.1	NC_001835.1	99.879795	97.226022
NC_008373.1	NC_008374.1	100.000000	87.545000
NC_008374.1	NC_008373.1	100.000000	87.545000
NC_008375.1	NC_055123.1	91.043203	76.882187
NC_008376.2	NC_009737.2	78.289075	94.305502
NC_008377.1	NC_004071.1	97.922636	73.439603
NC_008393.1	NC_023014.1	84.792720	69.596562
NC_008464.1	NC_049924.1	84.064876	93.606470
NC_008492.1	NC_014130.1	100.000000	87.786000
NC_008493.1	NC_008780.1	100.000000	85.339000
NC_008494.1	NC_010835.1	100.000000	78.779000
NC_008495.1	NC_078183.1	99.761337	86.934000
NC_008514.1	NC_076586.1	64.694673	69.323973
NC_008515.1	NC_054945.1	96.154078	95.581445
NC_008516.1	NC_038295.1	44.103526	66.545341
NC_008517.1	NC_028046.1	100.000000	84.201000
NC_008518.1	NC_044938.1	6.220305	73.317146
NC_008519.1	NC_024893.1	87.490029	70.161021
NC_008520.2	NC_031761.1	99.583330	98.833473
NC_008521.1	NC_055590.1	69.434889	67.663757
NC_008522.1	NC_026945.1	100.000000	78.317000
NC_008523.1	NC_006952.1	100.000000	81.634000
NC_008524.1	NC_010148.1	100.000000	81.961000
NC_008552.1	NC_028111.1	93.177153	76.818253
NC_008558.1	NC_055568.1	6.957884	63.695000
NC_008559.1	NC_030749.1	100.000000	87.495000
NC_008560.1	NC_006267.1	100.000000	90.389000
NC_008562.1	NC_029002.1	96.391934	96.642955
NC_008574.2	NC_011399.1	94.802310	96.032134
NC_008575.1	NC_019548.1	100.000000	99.915326
NC_008579.1	NC_008523.1	86.701337	66.937000
NC_008580.1	NC_004541.1	98.794749	86.170000
NC_008582.1	NC_040604.1	86.230218	69.045694
NC_008583.1	NC_028913.1	82.549620	98.371018
NC_008584.1	NC_015937.1	96.013703	94.643980
NC_008585.1	NC_008366.1	14.787484	67.591609
NC_008586.1	NC_076728.1	44.308100	70.306876
NC_008603.1	NC_044937.1	88.929461	93.263433
NC_008604.2	NC_012671.1	91.713574	68.708136
NC_008605.1	NC_004715.1	99.926847	95.465000
NC_008614.1	NC_002633.1	70.824981	68.150507
NC_008617.1	NC_004740.1	93.055083	95.759331
NC_008689.1	NC_012784.1	79.512674	97.249043
NC_008694.1	NC_023715.1	100.000000	97.920000
NC_008695.1	NC_021537.1	28.094911	73.285570
NC_008706.1	NC_011555.2	100.000000	71.962000
NC_008707.1	NC_011554.1	100.000000	81.010000
NC_008708.2	NC_011553.1	98.891805	83.740409
NC_008714.1	NC_029854.1	100.000000	74.548000
NC_008716.1	NC_015552.1	99.793936	74.380000
NC_008717.1	NC_018274.1	96.965536	94.547830
NC_008718.1	NC_026624.1	96.812559	71.647000
NC_008719.1	NC_012735.1	100.000000	76.417000
NC_008720.1	NC_070850.1	68.541616	71.223510
NC_008721.2	NC_031913.1	16.641217	68.443369
NC_008722.1	NC_031241.1	86.269000	97.983159
NC_008723.1	NC_031241.1	85.431757	96.179626
NC_008724.1	NC_008603.1	38.614532	69.806789
NC_008725.1	NC_001623.1	96.716479	84.887920
NC_008728.1	NC_003732.1	100.000000	64.843000
NC_008729.1	NC_003728.1	100.000000	71.992000
NC_008730.1	NC_037572.1	100.000000	65.933000
NC_008731.1	NC_003737.1	63.963623	67.428107
NC_008732.1	NC_037578.1	100.000000	77.045000
NC_008733.1	NC_014714.1	95.045545	75.337587
NC_008734.1	NC_077724.1	100.000000	74.546000
NC_008735.1	NC_028465.1	100.000000	67.484000
NC_008736.1	NC_014710.1	73.147301	69.505683
NC_008737.1	NC_077722.1	100.000000	69.032000
NC_008779.1	NC_014794.1	100.000000	88.568000
NC_008780.1	NC_008493.1	100.000000	85.339000
NC_008793.1	NC_055124.1	100.000000	90.526000
NC_008794.1	NC_003722.1	100.000000	86.914000
NC_008798.1	NC_054973.1	85.678955	95.597230
NC_008799.1	NC_054979.1	89.113257	96.309781
NC_008824.1	NC_017977.1	74.225754	68.305037
NC_008837.1	NC_008875.1	38.290933	77.145399
NC_008838.1	NC_008934.1	41.219071	74.450944
NC_008839.1	NC_008849.1	16.057143	75.484630
NC_008840.1	NC_008843.1	42.011834	79.755981
NC_008841.1	NC_008848.1	26.409186	72.553660
NC_008842.1	NC_008876.1	100.000000	97.609325
NC_008843.1	NC_008840.1	40.874036	79.735985
NC_008844.1	NC_008837.1	20.431211	79.695671
NC_008845.1	NC_008864.1	52.215996	76.602023
NC_008846.1	NC_008852.1	34.640856	69.738097
NC_008847.1	NC_008893.1	19.401496	69.136000
NC_008848.1	NC_008857.1	20.038722	64.932000
NC_008849.1	NC_008934.1	21.648987	71.772000
NC_008850.1	NC_008854.1	18.181818	68.571000
NC_008851.1	NC_008933.1	72.067308	76.934353
NC_008852.1	NC_008846.1	30.706781	69.806538
NC_008853.1	NC_008867.1	40.796253	80.647268
NC_008854.1	NC_008895.1	17.776757	71.766977
NC_008855.1	NC_008877.1	96.053235	98.423241
NC_008856.1	NC_008864.1	91.571754	77.112537
NC_008857.1	NC_008912.1	20.281946	70.067000
NC_008858.1	NC_008866.1	42.639821	79.248359
NC_008859.1	NC_008890.1	30.946065	76.903444
NC_008860.1	NC_008866.1	96.980306	74.528153
NC_008861.1	NC_008898.1	73.638344	76.277209
NC_008862.1	NC_008925.1	11.836379	68.000000
NC_008863.1	NC_008887.1	46.850733	87.096208
NC_008864.1	NC_008856.1	87.996583	77.032908
NC_008865.1	NC_008909.1	40.627651	72.017453
NC_008866.1	NC_008860.1	97.370653	74.466728
NC_008867.1	NC_008887.1	82.521008	80.960660
NC_008868.1	NC_008918.1	19.749478	86.134000
NC_008869.1	NC_008870.1	22.757475	77.840544
NC_008870.1	NC_008934.1	77.142857	81.472946
NC_008871.1	NC_008873.1	6.076672	72.549000
NC_008872.1	NC_008905.1	23.634882	74.505771
NC_008873.1	NC_008901.1	5.767669	77.241000
NC_008874.1	NC_008905.1	37.146273	74.559837
NC_008875.1	NC_008837.1	23.188976	77.197827
NC_008876.1	NC_008842.1	71.467818	98.136000
NC_008877.1	NC_008855.1	81.298600	98.430549
NC_008878.1	NC_008860.1	28.538193	78.196898
NC_008879.1	NC_008912.1	15.830116	79.053610
NC_008880.1	NC_008849.1	16.743649	69.178000
NC_008881.1	NC_008937.1	99.847036	76.021997
NC_008882.1	NC_008875.1	16.000000	83.810000
NC_008883.1	NC_008912.1	15.925504	72.028000
NC_008884.1	NC_008851.1	53.186646	70.492695
NC_008885.1	NC_008876.1	46.914048	68.591725
NC_008886.1	NC_008917.1	29.516251	74.650839
NC_008887.1	NC_008867.1	73.044436	80.917925
NC_008888.1	NC_008885.1	17.737789	68.631393
NC_008889.1	NC_008906.1	59.276844	77.092421
NC_008890.1	NC_008859.1	25.469653	76.910746
NC_008891.1	NC_008915.1	100.000000	97.933197
NC_008892.1	NC_008891.1	12.208259	69.275000
NC_008893.1	NC_008895.1	20.405983	66.955000
NC_008894.1	NC_008869.1	14.544165	74.766763
NC_008895.1	NC_008893.1	19.971969	66.955000
NC_008896.1	NC_008916.1	21.918768	78.096690
NC_008897.1	NC_008904.1	24.660397	71.182960
NC_008898.1	NC_008861.1	55.339130	76.796816
NC_008899.1	NC_008864.1	29.802015	66.856000
NC_008900.1	NC_008867.1	13.372093	72.864000
NC_008901.1	NC_008940.1	27.235495	98.499654
NC_008902.1	NC_008867.1	13.978861	73.943615
NC_008903.1	NC_008935.1	34.185412	92.646375
NC_008904.1	NC_008910.1	83.661685	79.518568
NC_008905.1	NC_008912.1	83.983984	83.229989
NC_008906.1	NC_008910.1	81.818182	79.213361
NC_008907.1	NC_008925.1	2.060170	75.000000
NC_008908.1	NC_008912.1	38.014921	72.228593
NC_008909.1	NC_008922.1	60.045002	79.351954
NC_008910.1	NC_008904.1	79.756176	79.514954
NC_008911.1	NC_008848.1	10.670927	70.710000
NC_008912.1	NC_008905.1	72.142630	83.250906
NC_008913.1	NC_008912.1	71.586950	75.579780
NC_008914.1	NC_008903.1	25.254394	90.705569
NC_008915.1	NC_008891.1	91.623828	96.937888
NC_008916.1	NC_008917.1	49.354548	81.307783
NC_008917.1	NC_008916.1	54.711337	80.292515
NC_008918.1	NC_008868.1	13.911230	86.134000
NC_008919.1	NC_008939.1	90.858154	77.900305
NC_008920.1	NC_008849.1	10.285043	70.739000
NC_008921.1	NC_008919.1	76.500858	76.681000
NC_008922.1	NC_008938.1	80.392157	96.040726
NC_008923.1	NC_008928.1	99.812984	82.922990
NC_008924.1	NC_008928.1	49.321989	71.457343
NC_008925.1	NC_008862.1	6.045538	68.000000
NC_008926.1	NC_008941.1	100.000000	96.743405
NC_008927.1	NC_008941.1	97.909493	81.719640
NC_008928.1	NC_008923.1	92.304147	83.294615
NC_008929.1	NC_008883.1	8.837901	70.824000
NC_008930.1	NC_008861.1	21.474425	72.122460
NC_008931.1	NC_008854.1	6.999591	75.860936
NC_008932.1	NC_008856.1	26.900698	80.931806
NC_008933.1	NC_008851.1	71.407767	76.909247
NC_008934.1	NC_008870.1	77.306193	81.968744
NC_008935.1	NC_008903.1	40.167866	92.643723
NC_008936.1	NC_008884.1	38.601236	67.193429
NC_008937.1	NC_008881.1	95.179413	76.012086
NC_008938.1	NC_008922.1	99.823944	96.028916
NC_008939.1	NC_008919.1	99.800532	77.927404
NC_008940.1	NC_008901.1	25.445860	98.497985
NC_008941.1	NC_008926.1	99.977573	95.959039
NC_008946.1	NC_007989.1	22.911338	67.590000
NC_008947.1	NC_008973.1	69.727768	77.847085
NC_008948.1	NC_008985.1	1.778478	81.250000
NC_008949.1	NC_008950.1	30.683761	67.146580
NC_008950.1	NC_007985.1	41.149600	67.928644
NC_008951.1	NC_008957.1	65.125348	72.493798
NC_008952.1	NC_008990.1	2.682747	70.000000
NC_008953.1	NC_007985.1	19.898348	66.671103
NC_008954.1	NC_001538.1	1.470926	75.000000
NC_008955.1	NC_008996.1	22.998873	75.394403
NC_008956.1	NC_008959.1	96.891849	78.811356
NC_008957.1	NC_008951.1	80.883900	72.464859
NC_008958.1	NC_008980.1	50.927546	71.099801
NC_008959.1	NC_008956.1	96.358543	78.801907
NC_008960.1	NC_008956.1	82.945736	76.425412
NC_008961.1	NC_007990.1	8.077741	69.861992
NC_008962.1	NC_008964.1	72.230428	80.181531
NC_008963.1	NC_007986.1	1.959138	74.286000
NC_008964.1	NC_008962.1	74.867058	79.521495
NC_008965.1	NC_008007.1	13.561682	67.682107
NC_008966.1	NC_008968.1	60.142936	73.081457
NC_008967.1	NC_008992.1	30.695131	95.674664
NC_008968.1	NC_008966.1	42.761117	75.467057
NC_008969.1	NC_008002.1	6.368461	63.889000
NC_008970.1	NC_008978.1	47.079381	71.931325
NC_008971.1	NC_008953.1	13.693650	63.085000
NC_008972.1	NC_009002.1	58.663127	75.211346
NC_008973.1	NC_008947.1	45.645933	77.765944
NC_008976.1	NC_008007.1	1.193887	80.769000
NC_008977.1	NC_008002.1	3.076923	72.308000
NC_008978.1	NC_008970.1	49.917589	71.513757
NC_008979.1	NC_009003.1	3.916510	74.251000
NC_008980.1	NC_008958.1	33.959240	71.030726
NC_008981.1	NC_008008.1	3.759733	75.824000
NC_008982.1	NC_008978.1	46.427006	76.443388
NC_008983.1	NC_008970.1	48.220339	77.978502
NC_008984.1	NC_008991.1	15.267498	67.185234
NC_008985.1	NC_009001.1	66.585267	74.328229
NC_008986.1	NC_008987.1	67.426194	77.157918
NC_008987.1	NC_008986.1	61.564356	76.917086
NC_008988.1	NC_008994.1	76.449704	83.076190
NC_008989.1	NC_008007.1	21.945967	67.215708
NC_008990.1	NC_008007.1	30.898452	66.069333
NC_008991.1	NC_008002.1	27.045796	68.617850
NC_008992.1	NC_008967.1	26.265645	91.247595
NC_008993.1	NC_006635.1	4.466546	84.665340
NC_008994.1	NC_008988.1	57.393798	84.925723
NC_008995.1	NC_008991.1	15.526676	65.764535
NC_008996.1	NC_008955.1	24.222798	75.190513
NC_008997.1	NC_040606.1	0.495942	87.879000
NC_008998.1	NC_008949.1	11.795277	67.433356
NC_008999.1	NC_008978.1	37.683715	72.643704
NC_009000.1	NC_008002.1	3.315061	74.803291
NC_009001.1	NC_008985.1	76.104013	74.337087
NC_009002.1	NC_008972.1	57.175541	74.492659
NC_009003.1	NC_008981.1	2.978031	71.632022
NC_009010.1	NC_076205.1	95.730616	76.666607
NC_009011.2	NC_055502.1	73.955882	73.576120
NC_009013.1	NC_013075.1	75.397029	70.618993
NC_009014.1	NC_019926.1	99.997800	98.783409
NC_009015.1	NC_050147.1	17.120762	67.972374
NC_009016.1	NC_010342.1	37.165222	66.861914
NC_009017.1	NC_040794.1	28.763183	66.176178
NC_009018.1	NC_004584.1	71.573920	88.668751
NC_009019.1	NC_038294.1	90.371789	72.675800
NC_009020.1	NC_009019.1	90.230300	74.835813
NC_009021.1	NC_030886.1	80.624442	71.152570
NC_009025.1	NC_004807.1	98.136646	76.108158
NC_009026.2	NC_009029.2	65.418400	65.938109
NC_009028.2	NC_040776.1	97.982334	72.213723
NC_009029.2	NC_032088.1	94.261541	67.995640
NC_009030.1	NC_038901.1	100.000000	85.241000
NC_009031.1	NC_038473.1	100.000000	80.615000
NC_009032.1	NC_010988.1	67.518046	69.711668
NC_009041.1	NC_001367.1	100.000000	84.047000
NC_009087.2	NC_040703.1	62.145680	71.362426
NC_009088.1	NC_039003.1	100.000000	86.154000
NC_009127.1	NC_019495.1	30.766807	71.108066
NC_009224.1	NC_014823.1	36.133815	66.671765
NC_009225.1	NC_038357.1	79.691834	74.437318
NC_009231.1	NC_028959.1	85.896211	97.951927
NC_009232.2	NC_073209.1	95.466504	91.828695
NC_009233.1	NC_044939.1	99.469027	97.881296
NC_009234.1	NC_007145.2	93.371758	95.814563
NC_009235.2	NC_003309.1	76.188520	91.195005
NC_009236.1	NC_007145.2	64.783320	98.983629
NC_009237.1	NC_005882.1	85.370934	91.455460
NC_009238.1	NC_009539.1	92.976190	71.796000
NC_009240.1	NC_040699.1	1.514276	71.430723
NC_009241.1	NC_038949.1	4.879594	74.359000
NC_009242.1	NC_055160.1	2.838063	88.235000
NC_009243.1	NC_012537.1	1.364764	86.364000
NC_009244.1	NC_012536.1	16.989186	65.563000
NC_009245.1	NA	NA	NA
NC_009246.1	NC_075367.1	2.079867	96.000000
NC_009247.1	NC_038948.1	36.349331	67.641973
NC_009248.1	NC_012535.1	39.422863	68.404419
NC_009249.1	NC_077221.1	2.479024	75.758000
NC_009250.1	NC_030925.1	1.638350	96.296000
NC_009251.1	NC_036594.1	1.755448	90.323000
NC_009252.1	NC_020104.1	8.089097	76.389000
NC_009333.1	NC_076967.1	42.758881	68.316977
NC_009334.1	NC_007605.1	99.806673	98.192318
NC_009354.1	NC_007638.1	100.000000	90.242000
NC_009382.1	NC_049432.1	81.024252	87.997189
NC_009383.1	NC_023892.1	87.939464	70.643684
NC_009424.5	NC_001885.3	69.735248	87.749663
NC_009447.1	NC_072504.1	7.639180	68.188784
NC_009448.2	NC_010810.1	98.126925	84.008000
NC_009449.1	NC_005052.1	100.000000	94.577000
NC_009450.1	NC_076104.1	100.000000	74.731000
NC_009451.1	NC_043531.1	94.347826	75.524000
NC_009452.1	NC_028938.1	79.402872	72.476777
NC_009489.1	NC_009640.1	43.148650	66.624192
NC_009490.1	NC_008304.1	100.000000	85.807000
NC_009491.1	NC_008305.1	92.809691	72.694354
NC_009503.1	NC_038375.1	26.826242	69.585355
NC_009514.1	NC_019716.1	65.936496	95.522408
NC_009519.1	NC_010346.1	93.540946	82.617000
NC_009520.1	NC_010348.1	99.317406	70.181000
NC_009521.1	NC_010347.1	96.213658	74.579878
NC_009526.1	NC_007049.1	95.807496	99.091023
NC_009527.1	NC_020809.1	95.754638	76.639547
NC_009528.2	NC_025385.1	100.000000	77.998000
NC_009530.1	NC_032776.1	3.182711	73.398951
NC_009531.1	NC_029031.1	36.166530	69.863732
NC_009532.1	NC_001746.1	85.280411	69.107778
NC_009533.1	NC_005287.1	67.318891	73.593297
NC_009535.1	NC_075097.1	100.000000	91.784000
NC_009536.1	NC_003546.1	100.000000	68.666000
NC_009537.1	NC_003569.1	100.000000	86.579000
NC_009538.1	NC_011809.1	100.000000	85.338000
NC_009539.1	NC_009238.1	90.552687	71.796000
NC_009540.1	NC_027350.1	92.176666	92.953407
NC_009541.1	NC_027295.1	100.000000	85.662000
NC_009542.2	NC_003313.1	12.973371	67.299417
NC_009542.2	NC_010275.2	12.973371	67.299417
NC_009543.1	NC_004902.1	93.481581	87.845706
NC_009545.1	NC_009546.1	92.720029	74.604000
NC_009546.1	NC_008373.1	100.000000	84.404000
NC_009547.1	NC_017987.1	100.000000	87.169000
NC_009548.1	NC_005321.1	100.000000	86.875000
NC_009549.1	NC_028989.1	100.000000	88.828000
NC_009550.1	NC_005844.1	100.000000	77.123000
NC_009551.1	NC_022751.1	93.333950	95.878876
NC_009552.3	NC_019544.1	24.217507	83.328669
NC_009553.1	NC_005031.1	99.927326	80.672000
NC_009554.1	NC_022775.1	67.843850	83.767421
NC_009556.1	NC_038925.1	97.717231	89.197000
NC_009558.1	NC_076137.1	100.000000	86.041000
NC_009559.1	NC_038688.1	100.000000	77.379000
NC_009560.1	NC_038688.1	100.000000	88.024000
NC_009561.1	NC_007067.1	32.689450	69.791618
NC_009562.1	NC_004546.1	100.000000	76.698000
NC_009563.1	NC_019547.1	85.495627	81.943647
NC_009564.1	NC_005057.1	100.000000	86.077000
NC_009570.1	NC_038685.1	100.000000	86.662000
NC_009571.1	NC_076104.1	100.000000	82.387000
NC_009597.1	NC_016899.1	1.967068	73.150753
NC_009603.1	NC_041892.1	7.566052	67.521089
NC_009604.1	NC_005263.2	95.669241	96.845940
NC_009605.1	NC_060097.1	100.000000	77.518791
NC_009606.1	NC_055602.1	100.000000	87.452000
NC_009607.1	NC_020256.1	100.000000	80.132476
NC_009608.1	NC_055208.1	20.099797	67.182919
NC_009609.1	NC_055209.1	57.607065	68.767948
NC_009612.1	NC_002556.1	100.000000	98.212958
NC_009640.1	NC_009489.1	43.965744	66.617794
NC_009642.1	NC_002692.1	100.000000	77.061000
NC_009643.1	NC_048740.1	3.604915	68.125246
NC_009644.1	NC_006358.1	88.419873	79.899734
NC_009645.1	NC_038885.1	92.530209	73.623000
NC_009646.1	NC_006359.1	67.006418	73.269016
NC_009647.1	NC_005636.1	57.634731	68.593000
NC_009657.1	NC_003436.1	80.955927	71.807574
NC_009731.1	NC_074988.1	100.000000	93.930000
NC_009737.2	NC_008376.2	77.720725	94.317442
NC_009741.1	NC_076883.1	89.157487	71.618366
NC_009742.1	NC_076243.1	93.466818	72.277734
NC_009744.1	NC_005778.1	79.863340	71.346272
NC_009745.1	NC_037051.1	35.681186	66.013076
NC_009756.1	NC_033008.1	2.405035	69.159000
NC_009757.1	NC_032587.1	83.044608	72.265309
NC_009758.1	NC_032181.1	15.583688	65.588216
NC_009759.1	NC_077022.1	48.167539	71.895972
NC_009760.1	NC_028777.1	0.507883	65.021765
NC_009761.3	NC_002321.1	93.407842	98.086859
NC_009762.3	NC_055043.1	88.082034	96.653590
NC_009763.3	NC_004617.1	88.790636	97.424413
NC_009764.1	NC_016440.1	31.247851	67.627331
NC_009799.3	NC_042354.1	36.814670	69.124479
NC_009803.1	NC_009804.1	97.915702	95.071196
NC_009804.1	NC_009803.1	98.826198	95.090306
NC_009805.1	NC_005136.1	30.136986	68.183517
NC_009810.1	NC_024384.1	75.537088	92.693290
NC_009811.2	NC_025440.1	98.734913	97.296337
NC_009812.1	NC_024387.1	63.421096	88.810600
NC_009813.1	NC_009812.1	6.009715	77.659407
NC_009814.1	NC_011308.1	21.202055	68.320779
NC_009815.1	NC_028871.1	51.287903	90.555061
NC_009816.1	NC_042085.1	15.697304	68.191683
NC_009817.1	NC_002747.1	3.044225	81.011371
NC_009818.1	NC_020200.1	98.909610	98.922730
NC_009819.1	NC_004589.1	90.137892	93.075024
NC_009820.1	NC_023728.1	81.365433	95.058799
NC_009821.1	NC_041936.1	97.768308	96.998680
NC_009823.1	NC_004102.1	88.497580	70.813606
NC_009824.1	NC_009826.1	97.229272	69.183569
NC_009825.1	NC_004102.1	99.978621	72.083000
NC_009826.1	NC_004102.1	98.308894	70.887775
NC_009827.1	NC_038882.1	96.281678	71.318780
NC_009875.1	NC_047919.1	99.994425	90.142146
NC_009877.1	NC_041985.1	95.877294	97.220303
NC_009878.1	NC_042327.1	93.242105	94.573436
NC_009884.1	NC_010153.1	14.279422	69.294658
NC_009889.1	NC_022517.1	93.028789	79.219436
NC_009890.1	NC_040551.1	34.725231	65.571920
NC_009891.1	NC_076010.1	2.203037	70.946000
NC_009892.1	NC_014821.1	66.807329	66.478985
NC_009893.1	NC_009449.1	100.000000	81.345000
NC_009894.1	NC_077898.1	98.806057	75.066000
NC_009895.1	NC_077899.1	99.744720	70.470000
NC_009896.1	NC_018464.1	100.000000	75.553000
NC_009896.1	NC_043582.1	100.000000	75.553000
NC_009898.1	NC_043235.1	90.378726	91.478313
NC_009899.1	NC_043235.1	93.530437	95.442465
NC_009903.1	NC_076960.1	100.000000	87.381000
NC_009904.1	NC_047853.1	100.000000	99.999000
NC_009935.1	NC_011105.1	96.532407	88.034351
NC_009936.1	NC_013638.1	24.609910	67.722946
NC_009942.1	NC_001563.2	100.000000	79.395000
NC_009944.1	NC_009946.1	4.683747	78.151000
NC_009945.1	NC_005980.1	4.729968	75.186754
NC_009946.1	NC_009944.1	3.644501	78.151000
NC_009947.1	NC_043218.1	13.827596	65.042000
NC_009951.1	NC_038559.1	100.000000	90.948000
NC_009965.1	NC_074632.1	41.050497	69.428118
NC_009986.1	NC_011217.1	90.016518	89.885889
NC_009987.1	NC_003793.1	95.717916	89.367145
NC_009988.1	NC_028824.1	99.388920	88.374000
NC_009989.1	NC_024684.1	81.388058	71.722193
NC_009990.1	NC_071016.1	56.245812	73.304436
NC_009991.1	NC_023892.1	42.084345	70.051397
NC_009992.1	NC_055177.1	0.935697	81.481068
NC_009993.2	NC_054433.1	18.561381	69.894336
NC_009994.1	NC_016044.1	76.520376	70.699665
NC_009995.1	NC_035459.1	89.249743	72.108000
NC_009996.1	NC_038878.1	95.985350	67.501550
NC_010105.1	NC_012741.1	96.253878	96.194485
NC_010106.1	NC_047830.1	91.220387	90.766502
NC_010107.1	NC_010817.1	99.424263	80.837000
NC_010116.1	NC_041934.1	97.688492	94.620883
NC_010126.1	NC_075099.1	100.000000	93.193000
NC_010147.1	NC_007060.1	73.578852	96.110067
NC_010148.1	NC_008524.1	100.000000	81.961000
NC_010152.1	NC_010155.1	95.659095	90.774854
